@relation features

@attribute MEAN_105_0 numeric
@attribute MEAN_105_1 numeric
@attribute VARIANCE_105_0 numeric
@attribute VARIANCE_105_1 numeric
@attribute MEAN_106_0 numeric
@attribute MEAN_106_1 numeric
@attribute VARIANCE_106_0 numeric
@attribute VARIANCE_106_1 numeric
@attribute VARIANCE_6_0 numeric
@attribute class {slow_walking,fast_walking,slow_running,fast_running,upstairs,downstairs}

@data
9.796512,-0.52792,1.40706,3.542404,0.868962,-0.004247,0.12689,0.104949,0.003051,slow_walking
9.72514,-0.956096,3.784203,4.028329,0.789244,-0.073949,0.15543,0.068656,0.002486,slow_walking
9.728764,-0.92724,3.881076,4.321653,0.878692,-0.093615,0.251328,0.083936,0.002348,slow_walking
9.648196,-0.547242,3.095371,4.601553,1.017894,-0.010112,0.307791,0.090632,0.002665,slow_walking
9.856522,0.090801,2.227307,2.466078,1.213786,-0.073315,0.223759,0.108233,0.004117,slow_walking
9.694551,-1.033613,2.240239,3.711319,0.991234,-0.14038,0.291776,0.105199,0.005203,slow_walking
9.83061,-1.13467,3.615068,4.784574,0.950856,-0.089159,0.250956,0.173956,0.007217,slow_walking
9.826111,-0.80717,3.474359,5.034307,0.933231,0.003777,0.191308,0.146525,0.00598,slow_walking
9.914037,-0.405219,3.541799,3.926799,1.151477,-0.030682,0.107706,0.169217,0.006209,slow_walking
9.696376,-0.793475,3.233255,3.670706,1.10893,-0.117349,0.129225,0.160739,0.00617,slow_walking
9.683574,-0.795339,3.248725,3.811471,1.001966,-0.089351,0.123598,0.192611,0.005371,slow_walking
9.731858,-0.399365,2.811173,4.248591,0.948161,0.014543,0.12947,0.150638,0.002903,slow_walking
9.498312,0.032376,1.430015,3.075695,1.046925,-0.057568,0.150812,0.186001,0.002052,slow_walking
9.670394,-0.623396,2.695737,3.887014,1.035631,-0.121938,0.132092,0.203543,0.002322,slow_walking
9.474615,-0.528905,2.080666,4.209812,1.086676,-0.108255,0.099975,0.199276,0.002011,slow_walking
9.810569,-0.423426,2.756224,4.177795,1.010148,-0.075542,0.144469,0.181811,0.002122,slow_walking
9.784201,-0.815267,2.6079,4.44081,0.899925,-0.151435,0.142101,0.119636,0.002316,slow_walking
9.781669,-0.804439,2.786446,4.734702,0.993981,-0.089394,0.215496,0.184932,0.004204,slow_walking
9.826359,-0.580642,2.706969,4.85827,0.945689,-0.014002,0.146799,0.162209,0.004777,slow_walking
9.847698,-0.318118,3.543233,4.369758,1.148116,-0.027909,0.146488,0.183612,0.005033,slow_walking
9.745011,-1.156028,3.98292,5.401973,1.013013,-0.074684,0.189299,0.198066,0.005232,slow_walking
9.711116,-1.161003,3.989455,5.508088,0.998727,-0.093314,0.187195,0.199307,0.005035,slow_walking
9.704977,-0.636308,3.437768,5.314919,1.028332,0.052789,0.149042,0.118675,0.004836,slow_walking
9.584194,-0.327503,1.701641,3.608778,1.167749,-0.080051,0.160455,0.217724,0.004064,slow_walking
9.703921,-1.237089,3.638574,3.782011,1.035861,-0.128173,0.221706,0.174853,0.003023,slow_walking
