@relation features

@attribute ORIENTATION_POLAR numeric
@attribute ORIENTATION_AZIMUTH numeric
@attribute class {sitting,standing,lift}

@data
0,0,standing
0,0,standing
0,0,standing
-1.372883,1.434269,standing
-1.379023,1.413954,standing
-1.405307,1.430695,standing
-1.436215,1.443577,standing
-1.451546,1.455396,standing
-1.454519,1.45521,standing
-1.449017,1.449549,standing
-1.447752,1.448299,standing
-1.450103,1.450567,standing
-1.45198,1.452525,standing
-1.452956,1.453594,standing
-1.453581,1.454255,standing
-1.453359,1.45387,standing
-1.453745,1.454174,standing
-1.453345,1.453746,standing
-1.453427,1.453855,standing
-1.453199,1.4536,standing
-1.452299,1.452743,standing
-1.45129,1.451845,standing
-1.450141,1.45077,standing
-1.448346,1.449343,standing
-1.446348,1.447259,standing
-1.445317,1.44621,standing
-1.446959,1.447777,standing
-1.44197,1.445237,standing
-1.42502,1.434749,standing
-1.407507,1.42458,standing
-1.407507,1.42458,standing
-1.407507,1.42458,standing
-1.451855,1.655714,standing
-1.452733,1.675855,standing
-1.488855,1.64301,standing
-1.494672,1.640717,standing
-1.499482,1.63655,standing
-1.503939,1.628509,standing
1.386366,-1.535642,standing
1.388453,-1.537344,standing
1.390316,-1.538877,standing
1.388764,-1.537786,standing
1.386229,-1.535191,standing
1.383422,-1.531238,standing
1.381808,-1.528139,standing
1.38189,-1.527818,standing
1.382494,-1.529162,standing
1.382334,-1.531357,standing
1.383384,-1.533629,standing
1.382691,-1.535126,standing
1.381065,-1.535134,standing
1.378815,-1.533586,standing
1.37791,-1.531458,standing
1.37876,-1.53025,standing
1.379182,-1.529718,standing
1.37875,-1.528716,standing
1.378638,-1.527138,standing
1.379601,-1.525539,standing
1.380458,-1.525376,standing
1.380539,-1.526097,standing
1.379643,-1.526141,standing
1.379645,-1.526399,standing
1.380566,-1.528068,standing
1.381239,-1.530367,standing
1.420073,-1.468518,standing
1.422068,-1.472226,standing
1.421004,-1.47232,standing
1.420154,-1.470854,standing
1.413915,-1.468223,standing
1.399983,-1.469219,standing
1.383054,-1.477111,standing
1.37261,-1.486572,standing
1.369597,-1.492911,standing
1.487559,-1.523347,standing
1.48324,-1.516731,standing
1.460935,-1.488794,standing
1.441048,-1.463688,standing
1.424861,-1.445918,standing
1.421322,-1.443615,standing
1.426638,-1.449925,standing
1.434285,-1.456495,standing
1.439812,-1.460173,standing
1.437255,-1.45548,standing
1.432198,-1.449646,standing
1.432233,-1.449457,standing
1.432695,-1.449423,standing
1.432031,-1.449013,standing
1.430035,-1.447742,standing
1.429634,-1.448471,standing
1.429495,-1.449017,standing
1.430066,-1.451369,standing
1.430933,-1.453848,standing
1.433459,-1.457913,standing
1.433897,-1.457924,standing
1.39429,-1.490223,standing
