@relation features

@attribute MEAN_103_0 numeric
@attribute VARIANCE_103_0 numeric
@attribute class {moving,nonmoving,not_in_pocket}

@data
9.792202,0.039503,?
9.807686,0.155817,nonmoving
9.863532,0.296089,nonmoving
9.840626,0.374278,nonmoving
9.834147,0.384792,nonmoving
9.777887,0.271653,nonmoving
9.81904,0.166978,nonmoving
9.781401,0.067322,nonmoving
9.729855,0.024855,nonmoving
9.765073,0.003528,nonmoving
9.766513,0.000783,nonmoving
9.766197,0.000606,nonmoving
9.76559,0.000607,nonmoving
9.765868,0.000619,nonmoving
9.760127,0.000653,nonmoving
9.759708,0.000565,nonmoving
9.759433,0.000543,nonmoving
9.764823,0.000705,nonmoving
9.760772,0.000798,nonmoving
9.758782,0.000778,nonmoving
9.760482,0.000664,nonmoving
9.763278,0.000516,nonmoving
9.76593,0.000379,nonmoving
9.764963,0.000336,nonmoving
9.763177,0.000259,nonmoving
9.769604,0.000488,nonmoving
9.769004,0.000773,nonmoving
9.764012,0.000968,nonmoving
9.751856,0.00305,nonmoving
9.776918,0.010229,nonmoving
9.804547,0.093429,nonmoving
9.855836,0.101158,nonmoving
9.771621,0.216146,nonmoving
9.7881,0.175606,nonmoving
9.75767,0.171717,nonmoving
9.777823,0.058846,nonmoving
9.767184,0.005641,nonmoving
9.777799,0.003128,nonmoving
9.762492,0.00399,nonmoving
10.010676,1.467186,moving
10.001402,3.89452,moving
10.023827,3.990101,moving
9.916089,3.304243,moving
10.017066,2.234682,moving
9.964468,2.072057,moving
10.173525,3.824727,moving
10.136761,3.740409,moving
10.138084,4.001209,moving
9.942134,3.084254,moving
9.950542,3.093655,moving
10.010427,2.632371,moving
9.710794,1.356465,moving
9.93794,2.828719,moving
9.754362,2.294023,moving
10.075423,2.832558,moving
10.075751,2.78276,moving
10.108962,2.959181,moving
10.125394,2.904716,moving
10.117164,3.864741,moving
10.11439,4.118477,moving
10.091801,4.135849,moving
10.01697,3.550055,moving
9.798565,1.624699,moving
10.003556,3.659138,moving
9.70415,3.098441,moving
10.059243,3.337491,moving
9.827356,1.268073,moving
10.027242,2.909398,moving
9.902027,2.125206,moving
10.079673,2.085031,moving
10.118926,2.167318,moving
10.000739,2.725575,moving
10.127603,3.007063,moving
10.079551,3.321589,moving
10.04838,3.557579,moving
9.985299,3.46627,moving
10.067514,3.368957,moving
9.757079,1.52383,moving
10.029595,3.032351,moving
9.751883,2.462834,moving
10.035394,2.846806,moving
9.950573,1.013032,moving
9.908589,2.742292,moving
9.743582,2.290498,moving
9.944396,2.433522,moving
9.71133,1.194882,moving
9.943288,2.864622,moving
9.93815,2.918501,moving
10.034387,2.632695,moving
10.031682,2.890393,moving
9.730806,1.360128,moving
9.985719,3.165805,moving
9.785129,2.172441,moving
10.100343,2.326586,moving
9.821933,0.651208,moving
9.994879,2.605656,moving
9.819119,2.210907,moving
10.082359,2.858382,moving
9.781862,1.002403,moving
10.211103,5.240935,moving
10.279801,6.025275,moving
10.244316,5.912986,moving
10.045048,6.576801,moving
10.005998,5.129867,moving
10.077298,4.923031,moving
10.120883,5.056356,moving
10.244181,6.025229,moving
10.372485,5.634874,moving
10.20271,5.983461,moving
10.279091,6.519101,moving
10.33873,6.249799,moving
10.29478,5.781743,moving
10.367553,5.483337,moving
10.37493,5.286123,moving
10.095272,5.931866,moving
10.285761,5.780234,moving
10.262841,5.63103,moving
10.141144,6.709963,moving
10.2841,6.36728,moving
10.510238,5.800988,moving
10.087376,6.265098,moving
10.259874,6.11502,moving
10.732815,6.648435,moving
10.55739,6.738977,moving
10.226943,6.359292,moving
10.560033,6.914347,moving
10.894782,8.641834,moving
10.345113,6.200677,moving
10.301433,7.693188,moving
10.902898,10.56152,moving
10.552548,8.479376,moving
10.040041,10.069441,moving
10.477733,9.40468,moving
10.945394,9.541291,moving
10.730625,11.284885,moving
10.241842,7.978259,moving
10.476975,9.061528,moving
10.921449,10.243703,moving
10.557375,7.891693,moving
10.006903,9.707584,moving
10.181639,6.957252,moving
10.719254,7.799545,moving
10.58804,8.332385,moving
10.309895,6.658405,moving
10.577833,7.039277,moving
10.620475,6.988226,moving
10.262316,4.940222,moving
10.178149,5.650211,moving
10.908082,8.208429,moving
10.390789,6.701652,moving
10.246781,8.012927,moving
10.81093,8.374419,moving
10.646464,6.781277,moving
10.077249,7.557649,moving
10.186779,5.48277,moving
10.63528,6.099448,moving
10.521368,7.376172,moving
10.373988,6.181616,moving
10.683049,7.305539,moving
10.603542,6.971936,moving
10.366414,5.969516,moving
10.46216,6.884367,moving
11.065165,9.230039,moving
10.468695,7.311719,moving
10.22491,8.187366,moving
10.961694,9.770983,moving
10.802818,8.76296,moving
10.328233,9.608443,moving
10.38465,6.828596,moving
10.863192,7.541558,moving
10.802793,9.366819,moving
10.326865,7.417957,moving
10.487458,8.358441,moving
10.839184,9.306436,moving
13.516438,30.656432,moving
13.553909,30.751144,moving
13.521659,29.167925,moving
13.329959,28.745647,moving
13.692394,29.620929,moving
13.281018,33.212726,moving
13.28658,30.863509,moving
13.369717,28.878817,moving
13.918056,26.632006,moving
13.842921,26.324402,moving
14.307602,29.975668,moving
14.000192,33.681226,moving
13.479638,33.364136,moving
13.163842,30.723698,moving
13.013124,31.521041,moving
13.063096,29.324087,moving
12.922927,29.489163,moving
12.779175,31.5899,moving
13.112058,33.4213,moving
12.213363,41.76233,moving
11.839752,37.466711,moving
12.075086,36.853928,moving
12.810136,37.219643,moving
13.269982,35.873267,moving
12.972398,37.671364,moving
12.608248,34.93411,moving
12.47515,32.026196,moving
12.753245,33.512764,moving
12.520156,34.032437,moving
12.372691,34.266987,moving
12.099562,32.254913,moving
12.244088,34.12852,moving
12.527011,34.733247,moving
12.589118,33.005733,moving
12.328601,33.494072,moving
12.135297,32.233624,moving
12.205334,33.124467,moving
12.691762,35.291835,moving
12.932431,33.521621,moving
13.004915,32.378248,moving
12.872345,32.929435,moving
12.551625,33.200043,moving
12.650378,34.499432,moving
12.383571,33.525679,moving
12.585071,30.992138,moving
12.742364,28.522897,moving
12.560326,28.230022,moving
12.40199,32.26825,moving
12.308741,33.365652,moving
12.607363,32.633307,moving
12.880939,31.480835,moving
12.449483,35.25838,moving
12.014013,35.624967,moving
12.414581,40.095981,moving
12.620108,37.524086,moving
12.772086,40.279227,moving
11.916491,46.000007,moving
11.2013,39.610669,moving
12.967127,31.032132,moving
13.029224,34.370397,moving
12.474156,40.728321,moving
12.528447,39.195018,moving
12.845211,34.407909,moving
14.168685,31.553509,moving
15.39708,25.166117,moving
17.043653,21.492724,moving
16.747148,21.484599,moving
16.988951,20.977767,moving
17.597113,21.133945,moving
17.427253,19.241625,moving
17.976128,20.745087,moving
18.715908,22.481928,moving
18.872372,23.724663,moving
18.792729,26.710849,moving
18.710178,25.077801,moving
18.181744,26.581891,moving
18.133012,27.273957,moving
17.749912,26.136682,moving
16.664014,31.876928,moving
16.157839,30.80466,moving
15.639178,32.915645,moving
16.651728,32.385286,moving
17.273625,27.46311,moving
17.28202,25.613894,moving
18.122898,30.346353,moving
18.277103,32.71608,moving
18.656588,28.591591,moving
18.782305,27.266476,moving
19.483084,24.704477,moving
19.724917,24.78282,moving
19.115556,23.768102,moving
19.151167,21.768767,moving
19.226485,24.158948,moving
19.082362,25.984644,moving
18.803623,26.125812,moving
18.855451,22.77851,moving
18.615702,25.247342,moving
19.013342,24.252919,moving
18.007602,21.234765,moving
17.981198,19.749756,moving
15.814796,25.291093,moving
15.209787,25.262731,moving
14.775089,29.218712,moving
13.834702,30.834419,moving
10.156874,19.982661,moving
10.174859,18.199458,moving
10.115429,16.161192,moving
10.033023,15.957775,moving
10.079391,19.755773,moving
10.687877,18.719252,moving
10.646672,9.133717,moving
10.171618,8.834606,moving
10.735811,9.651304,moving
10.00824,9.55889,moving
10.46284,10.217421,moving
9.991625,11.557259,moving
10.723333,10.318756,moving
10.026613,11.102038,moving
10.800458,8.076732,moving
10.937902,20.678643,moving
11.204781,18.573693,moving
10.88017,20.876158,moving
9.991316,18.909843,moving
10.106805,20.496118,moving
10.232209,20.613731,moving
10.599364,22.981133,moving
10.036937,8.60632,moving
10.404118,7.384857,moving
10.345479,9.153129,moving
10.123946,7.636132,moving
10.807863,7.441562,moving
10.080787,9.119855,moving
10.648705,8.501043,moving
10.076828,10.592538,moving
10.561983,9.199259,moving
10.234744,10.013401,moving
10.647353,8.577065,moving
10.128009,9.511093,moving
9.892741,18.443832,moving
10.064674,17.752322,moving
9.896889,15.950984,moving
10.183143,16.13382,moving
10.039687,16.790204,moving
10.358135,15.097782,moving
10.922582,18.648636,moving
10.985899,18.496258,moving
10.368125,9.585965,moving
10.121021,7.827569,moving
10.63604,8.119242,moving
10.068746,9.141076,moving
10.810013,8.050293,moving
10.002945,9.039597,moving
10.513337,8.31888,moving
10.05137,7.997749,moving
10.470145,6.902915,moving
9.861876,7.41232,moving
9.830059,5.952795,moving
9.439213,0.00039,nonmoving
9.440239,0.000342,nonmoving
9.438743,0.000294,nonmoving
9.441696,0.00025,nonmoving
9.440722,0.000225,nonmoving
9.438817,0.000203,nonmoving
9.439438,0.000299,nonmoving
9.438541,0.000323,nonmoving
9.439898,0.000379,nonmoving
9.439991,0.000264,nonmoving
9.438136,0.000237,nonmoving
9.437188,0.000222,nonmoving
9.440886,0.000229,nonmoving
9.439368,0.000211,nonmoving
9.445682,0.000197,nonmoving
9.440765,0.00024,nonmoving
9.446716,0.000291,nonmoving
9.444666,0.000387,nonmoving
